"","CHFB","CHFCD4","CHFCD8","CHFgama","CHFMONO","CHFNK","PWSB","PWSCD4","PWSCD8","PWSGAMA","PWSMONO","PWSNK"
"ACTG1",0.311536212951738,-0.154769912641334,1.32610715884343,-1.0603700679342,-1.0603700679342,-1.0603700679342,2.10034251981452,-0.0343625718831962,0.1785554204487,-1.0603700679342,0.104956315851922,0.409115128351031
"ACTN4",-0.0460420060691098,-0.0460420060691098,2.83637352349357,-0.0460420060691098,-0.0460420060691098,-0.0460420060691098,-0.0460420060691098,-0.0460420060691098,-0.0460420060691098,-1.2489148328323,-0.0460420060691098,-1.17308063603928
"ADGRG1",-0.205150904317032,-0.205150904317032,2.42194135011156,-1.13694376933108,-0.205150904317032,-0.205150904317032,-0.205150904317032,-0.205150904317032,1.48986340888676,-0.205150904317032,-0.205150904317032,-1.13365375513098
"AL499604.1",-0.715080189240132,-0.715080189240132,-0.715080189240132,-0.715080189240132,-0.715080189240132,-0.715080189240132,0.574552807357484,0.72298043594125,0.358290956635303,2.31871202527321,-0.715080189240132,1.03102509947368
"ALOX5AP",-0.420307771806759,-0.420307771806759,0.922594934458899,0.666908307796876,-1.01200710576788,-0.420307771806759,-0.420307771806759,-0.420307771806759,0.726370560779963,1.2753712426226,-1.90142528224728,1.42372620139061
"ANXA1",-0.684850724830773,0.541344559367325,2.26312864233012,-0.684850724830773,-0.684850724830773,-0.684850724830773,-0.684850724830773,0.461416787879984,1.44287505192104,0.0851900323169427,-0.684850724830773,-0.684850724830773
"ANXA2",-0.628628386710956,-0.628628386710956,2.16241251802313,-0.628628386710956,-0.628628386710956,-0.628628386710956,0.938154395038242,-0.628628386710956,1.42410502451056,-0.628628386710956,0.504355156115709,-0.628628386710956
"AREG",-0.210014329293688,-0.210014329293688,-0.210014329293688,-0.210014329293688,-0.210014329293688,-1.57700907575318,0.707517092089425,-0.210014329293688,-0.210014329293688,-0.210014329293688,-0.210014329293688,2.75962094730695
"ARHGAP9",-0.397210078742431,-0.397210078742431,-0.397210078742431,-0.397210078742431,-0.397210078742431,-0.397210078742431,-0.397210078742431,-0.397210078742431,-0.397210078742431,1.11042227609432,-0.397210078742431,2.86167851132999
"ARPC1B",-0.643222037178015,-0.474876814161764,1.54693217824971,0.578929230109236,-1.64466586484283,0.388827286749632,0.188729544602712,-0.539426156093368,0.659294680813054,0.958709570519921,-1.64466586484283,0.625434246074548
"ARPC2",-0.389595603290816,-0.389595603290816,2.92083873459104,-0.389595603290816,-0.389595603290816,0.975117298317125,-0.389595603290816,-0.389595603290816,-0.389595603290816,-0.389595603290816,-0.389595603290816,-0.389595603290816
"ATF3",-0.124153367014308,-0.124153367014308,-0.124153367014308,-0.124153367014308,-1.62368816420341,-0.124153367014308,-0.124153367014308,-0.124153367014308,-0.124153367014308,-0.124153367014308,2.86522183434649,-0.124153367014308
"B3GNT7",-0.17977714191523,-0.17977714191523,-0.17977714191523,-0.17977714191523,-0.17977714191523,-1.22958918511811,-0.17977714191523,-0.17977714191523,-0.17977714191523,-0.17977714191523,-0.17977714191523,3.02736060427041
"BAZ2B",0.346251231514607,0.346251231514607,0.346251231514607,0.346251231514607,2.42339823377472,0.346251231514607,-0.680432803133619,0.346251231514607,-1.23564665543726,-0.513927411286808,-1.10457912856895,-0.966319624435725
"BCL2A1",-0.342053045861085,-0.342053045861085,-0.342053045861085,-0.342053045861085,-1.39657171822419,-0.342053045861085,1.43768439747518,-0.342053045861085,-0.342053045861085,0.248952932907105,2.44635875473058,-0.342053045861085
"BHLHE40",-0.145007643024136,-0.145007643024136,0.485507989372513,-1.30611168239469,-1.45393579713582,-0.801049840012261,-0.145007643024136,-0.145007643024136,0.687669413630674,-0.145007643024136,2.21960222450272,0.893355907157542
"BIN1",-0.42977283724428,-0.00675344596854343,0.868094712959566,0.372414563195479,-1.74899785464386,1.736511871446,-0.175516415130741,0.265569058244588,-0.0591074517728487,0.105906259700538,-1.74899785464386,0.820649393857977
"BTG1",-1.3262296329022,-0.503519932137948,-0.503519932137948,-0.503519932137948,-0.503519932137948,-0.503519932137948,-0.503519932137948,1.12334477580822,0.331350943594196,1.29330606186056,-0.503519932137948,2.10286737660486
"BTG2",-0.76114044002602,-0.216530210139326,-0.678952185410056,-0.816443150279732,-0.216530210139326,-0.757778879888874,-0.216530210139326,0.994287768151128,-0.216530210139326,0.951128841289955,-0.576177101864294,2.5111959885852
"C12orf75",-0.501223381331572,-0.501223381331572,1.8670412701091,-1.314695255282,-0.501223381331572,-0.501223381331572,-0.501223381331572,-0.501223381331572,1.72498035176233,0.23245466968871,-0.501223381331572,0.998782633042854
"C1orf56",0.46723341201052,-1.02023789843273,0.584490425876679,0.941529013372081,0.0285669723211562,1.67625209431814,-1.02023789843273,-1.02023789843273,-1.02023789843273,0.175177968937872,-1.02023789843273,1.22793960532722
"C3AR1",-0.410401707437527,-0.410401707437527,-0.410401707437527,-0.410401707437527,1.38334333249184,-0.410401707437527,-0.410401707437527,-0.410401707437527,-0.410401707437527,-0.410401707437527,2.72067374188343,-0.410401707437527
"CALHM6",-0.990662918044071,-0.113951594929717,-0.113951594929717,-0.113951594929717,-0.975460925276761,-0.113951594929717,-0.113951594929717,-0.113951594929717,-0.113951594929717,-0.113951594929717,2.99168819768828,-0.113951594929717
"CALM2",-0.897612202914316,-0.897612202914316,-0.897612202914316,-0.897612202914316,-0.897612202914316,-0.897612202914316,0.792857835131346,0.284635302469439,0.465925837238632,1.68035592584088,0.882797565529706,1.2791007512759
"CALR",-0.645173223695136,-0.645173223695136,2.0025183049671,-0.645173223695136,-0.645173223695136,-0.645173223695136,-0.645173223695136,-0.645173223695136,1.4851466002954,0.673151392233457,-0.645173223695136,1.00056949206514
"CCL3",-0.209714069166546,-0.209714069166546,-0.209714069166546,-0.209714069166546,-1.84379961802625,-0.209714069166546,-0.209714069166546,-0.209714069166546,-0.209714069166546,-0.209714069166546,1.51664433776405,2.2145819027611
"CCL3L1",-0.0299098303968144,-0.0299098303968144,0.552439169248633,1.32809327352659,-2.07859021240594,0.502527008984506,-0.0299098303968144,-0.0299098303968144,-0.0299098303968144,-1.14790493014488,1.62404294970356,-0.631058106928388
"CCL4",-0.605711367889436,-0.605711367889436,1.17701134961641,-1.24821339907877,-0.94211187114993,-0.605711367889436,-0.605711367889436,-0.605711367889436,0.923294095490681,1.60389833516119,0.139878869449509,1.37479945995808
"CCL4L2",-0.279046290681691,-0.279046290681691,-0.279046290681691,-1.19678733912105,-0.279046290681691,1.27241158575352,-0.279046290681691,-0.279046290681691,-0.279046290681691,-1.38681896058292,1.90775241886984,1.35676632985244
"CCL5",-0.465708816911433,-0.465708816911433,1.43347573452364,-1.16609158276961,-0.465708816911433,0.704912323086528,-0.465708816911433,-1.48831378183043,1.63386970293225,1.04498066057795,-0.465708816911433,0.165711028036833
"CCNH",-0.40057410565865,-0.40057410565865,-0.40057410565865,-0.40057410565865,-0.40057410565865,-0.40057410565865,-0.40057410565865,-0.40057410565865,1.17449164380067,-0.40057410565865,-0.40057410565865,2.83124941278583
"CD160",0.0499473485931435,0.0499473485931435,0.0499473485931435,-0.850696612246085,0.0499473485931435,2.45595591211702,0.0499473485931435,0.0499473485931435,0.0499473485931435,-2.05478543720923,0.0499473485931435,0.0499473485931435
"CD1C",-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,3.17542648054294,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813,-0.288675134594813
"CD226",0.0733111780005959,0.994204757012359,2.21574733225145,-1.07702332979344,0.0733111780005959,0.0733111780005959,0.0733111780005959,0.0733111780005959,0.0733111780005959,-0.873899540333712,0.0733111780005959,-1.77220746514083
"CD247",-0.259816120466216,-0.259816120466216,0.991230490917746,-1.38830636302373,-0.259816120466216,-0.259816120466216,-0.259816120466216,-0.259816120466216,-0.259816120466216,-0.259816120466216,-0.259816120466216,2.73542095630193
"CD3G",-0.367993366592057,-0.367993366592057,0.641039619019704,-0.367993366592057,-0.367993366592057,-0.367993366592057,-0.367993366592057,-0.367993366592057,-0.367993366592057,-0.367993366592057,-0.367993366592057,3.03889404690086
"CD4",-0.397119421294355,-0.397119421294355,-0.397119421294355,-0.397119421294355,1.10873625267278,-0.397119421294355,-0.397119421294355,-0.397119421294355,-0.397119421294355,-0.397119421294355,2.86245796027077,-0.397119421294355
"CD69",-0.847174068022009,-0.754907969324031,-0.955015772511292,-0.976852656894879,-0.30101700317479,-1.0269487144688,1.32484524775889,1.03198290448935,0.0804433920441293,1.17711975447538,-0.30101700317479,1.54854188880284
"CD7",0.0407796538183934,0.0407796538183934,-0.995278471918984,0.0407796538183934,0.0407796538183934,0.0407796538183934,0.0407796538183934,0.0407796538183934,-1.09809838922299,0.0407796538183934,-1.01760161471444,2.78474124530927
"CD74",-0.695235065576626,0.515591243661678,2.47617575789143,0.785685541216815,-0.695235065576626,0.478323022507876,-0.695235065576626,-0.695235065576626,-0.695235065576626,0.610869893758577,-0.695235065576626,-0.695235065576626
"CD81",-0.569626639994312,-0.569626639994312,2.64602546477442,0.39335677147885,-0.569626639994312,0.978385326608869,-0.569626639994312,-0.569626639994312,0.539245557092364,-0.569626639994312,-0.569626639994312,-0.569626639994312
"CD83",-0.270417230495924,-0.270417230495924,-0.270417230495924,-0.270417230495924,-1.50629595302204,-0.270417230495924,2.36432371648613,-0.270417230495924,-0.270417230495924,-0.270417230495924,1.57572731099923,-0.270417230495924
